Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Mark [metres or seconds],Event,Wind,Sex
1,2:03:06,Daniel BAUTISTA,1952-08-04,MEX,1,Cherkassy (URS),1980-04-27,1227,7386.0,30 Kilometres Race Walk,,male
1,1:53.28,Jarmila KRATOCHVÍLOVÁ,1951-01-26,TCH,1,München (GER),1983-07-26,1286,113.2,800 Metres,,female
1,47.6,Marita KOCH,1957-02-18,GDR,1,"Bruce Stadium, Canberra (AUS)",1985-10-06,1304,47.0,400 Metres,,female
1,1:12.81,Johnny GRAY,1960-06-19,USA,1,"Santa Monica, CA (USA)",1986-05-24,1239,72.8,600 Metres,,male
1,74.08,Jürgen SCHULT,1960-05-11,GDR,1,Neubrandenburg (GDR),1986-06-06,1320,74.0,Discus Throw,,male
1,86.74,Yuriy SEDYKH,1955-06-11,URS,1,"Neckarstadion, Stuttgart (GER)",1986-08-30,1307,86.7,Hammer Throw,,male
1,22.63,Natalya LISOVSKAYA,1962-07-16,URS,1.0,Moskva (URS),1987-06-07,1372,22.6,Shot Put,,female
1,2.09,Stefka KOSTADINOVA,1965-03-25,BUL,1,"Stadio Olimpico, Roma (ITA)",1987-08-30,1309,2.0,High Jump,,female
1,7.52,Galina CHISTYAKOVA,1962-07-26,URS,1,Leningrad (URS),1988-06-11,1333,7.5,Long Jump,1.4,female
1,76.8,Gabriele REINSCH,1963-09-23,GDR,1.0,Neubrandenburg (GDR),1988-07-09,1382,76.0,Discus Throw,,female
1,10.49,Florence GRIFFITH-JOYNER,1959-12-21,USA,1qf1,"Indianapolis, IN (USA)",1988-07-16,1314,10.4,100 Metres,0.0,female
1,7291,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",1988-09-24,1331,7291.0,Heptathlon,,female
1,21.34,Florence GRIFFITH-JOYNER,1959-12-21,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",1988-09-29,1308,21.3,200 Metres,1.3,female
1,18:21,Robert KORZENIOWSKI,1968-07-30,POL,,Bad Salzdefürth (GER),1990-09-15,1194,1101.0,5 Kilometres Race Walk,,male
1,8.95,Mike POWELL,1963-11-10,USA,1,"National Stadium, Tokyo (JPN)",1991-08-30,1346,8.9,Long Jump,0.3,male
1,2.45,Javier SOTOMAYOR,1967-10-13,CUB,1,Salamanca (ESP),1993-07-27,1314,2.4,High Jump,,male
1,8:06.11,Junxia WANG,1973-01-09,CHN,1,Beijing (CHN),1993-09-13,1293,486.1,3000 Metres,,female
1,41:37.9h,Hongmiao GAO,1974-03-17,CHN,1,Beijing (CHN),1994-04-07,1207,2497.9,10000 Metres Race Walk,,female
1,1:17:25.6h,Bernardo SEGURA,1970-02-11,MEX,1,Fana (NOR),1994-05-07,1247,4645.6,20000 Metres Race Walk,,male
1,18.29,Jonathan EDWARDS,1966-05-10,GBR,1.0,"Ullevi Stadium, Göteborg (SWE)",1995-08-07,1303,18.2,Triple Jump,1.3,male
1,41:04,Yelena NIKOLAYEVA,1966-02-01,RUS,1.0,Sochi (RUS),1996-04-20,1228,2464.0,10 Kilometres Race Walk,,female
1,98.48,Jan ŽELEZNÝ,1966-06-16,CZE,1,Jena (GER),1996-05-25,1365,98.4,Javelin Throw,,male
1,2:28.98,Svetlana MASTERKOVA,1968-01-17,RUS,1,Bruxelles (BEL),1996-08-23,1251,148.9,1000 Metres,,female
1,7:20.67,Daniel KOMEN,1976-05-17,KEN,1,Rieti (ITA),1996-09-01,1299,440.6,3000 Metres,,male
1,18:05.49,Hatem GHOULA,1973-06-07,TUN,1,Tunis (TUN),1997-05-01,1217,1085.4,5000 Metres Race Walk,,male
1,3:26.00,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Stadio Olimpico, Roma (ITA)",1998-07-14,1302,206.0,1500 Metres,,male
1,11:41.85,Norica CÎMPEAN,1972-03-22,ROU,1,Bucureşti (ROU),1999-02-06,1199,701.8,3000 Metres Race Walk,,female
1,3:43.13,Hicham EL GUERROUJ,1974-09-14,MAR,1,"Stadio Olimpico, Roma (ITA)",1999-07-07,1292,223.1,One Mile,,male
1,2:11.96,Noah NGENY,1978-11-02,KEN,1,Rieti (ITA),1999-09-05,1250,131.9,1000 Metres,,male
1,4:44.79,Hicham EL GUERROUJ,1974-09-14,MAR,1.0,"Olympiastadion, Berlin (GER)",1999-09-07,1290,284.7,2000 Metres,,male
1,37:11,Roman RASSKAZOV,1979-04-28,RUS,1,Saransk (RUS),2000-05-28,1252,2231.0,10 Kilometres Race Walk,,male
1,1:26:52.3h,Olimpiada IVANOVA,1970-08-29,RUS,1,Brisbane (AUS),2001-09-06,1193,5212.3,20000 Metres Race Walk,,female
1,2:21:31,Vladimir KANAYKIN,1985-03-21,RUS,1.0,"Adler, Sochi (RUS)",2006-02-19,1257,8491.0,35 Kilometres Race Walk,,male
1,19:46,Kjersti TYSSE-PLÄTZER,1972-01-18,NOR,1,Hildesheim (GER),2006-08-27,1239,1186.0,5 Kilometres Race Walk,,female
1,8:58.58,Meseret DEFAR,1983-11-19,ETH,1.0,"Boudewijnstadion, Bruxelles (BEL)",2007-09-14,1238,538.5,Two Miles,,female
1,72.28,Barbora ŠPOTÁKOVÁ,1981-06-30,CZE,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",2008-09-13,1306,72.2,Javelin Throw,,female
1,9.58,Usain BOLT,1986-08-21,JAM,1,"Olympiastadion, Berlin (GER)",2009-08-16,1356,9.5,100 Metres,0.9,male
1,19.19,Usain BOLT,1986-08-21,JAM,1,"Olympiastadion, Berlin (GER)",2009-08-20,1352,19.1,200 Metres,-0.3,male
1,5.06,Yelena ISINBAYEVA,1982-06-03,RUS,1,"Letzigrund, Zürich (SUI)",2009-08-28,1290,5.0,Pole Vault,,female
1,55:21,Zersenay TADESE,1982-01-01,ERI,,Lisboa (POR),2010-03-21,1241,3321.0,20 Kilometres,,male
1,5:10.68,Mahiedine MEKHISSI,1985-03-15,FRA,1,Reims (FRA),2010-06-30,1248,310.6,2000 Metres Steeplechase,,male
1,1:40.91,David RUDISHA,1988-12-17,KEN,1,"Olympic Stadium, London (GBR)",2012-08-09,1301,100.9,800 Metres,,male
1,12.8,Aries MERRITT,1985-07-24,USA,1,"Boudewijnstadion, Bruxelles (BEL)",2012-09-07,1294,12.0,110 Metres Hurdles,0.3,male
1,20:01.80,Eleonora Anna GIORGI,1989-09-14,ITA,1,Misterbianco (ITA),2014-05-18,1219,1201.8,5000 Metres Race Walk,,female
1,3:32:33,Yohann DINIZ,1978-01-01,FRA,1,"Letzigrund, Zürich (SUI)",2014-08-15,1269,12753.0,50 Kilometres Race Walk,,male
1,1:16:36,Yusuke SUZUKI,1988-01-02,JPN,1,Nomi (JPN),2015-03-15,1266,4596.0,20 Kilometres Race Walk,,male
1,43.03,Wayde VAN NIEKERK,1992-07-15,RSA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-14,1321,43.0,400 Metres,,male
1,82.98,Anita WŁODARCZYK,1985-08-08,POL,1,"Stadion PGE Narodowy, Warszawa (POL)",2016-08-28,1303,82.9,Hammer Throw,,female
1,1:01:25,Joyciline JEPKOSGEI,1993-12-08,KEN,,Praha (CZE),2017-04-01,1237,3685.0,20 Kilometres,,female
1,30.81,Wayde VAN NIEKERK,1992-07-15,RSA,1,"Mestský Stadion, Ostrava (CZE)",2017-06-28,1274,30.8,300 Metres,,male
1,1:21.77,Caster SEMENYA,1991-01-07,RSA,1,"Olympiastadion, Berlin (GER)",2017-08-27,1244,81.7,600 Metres,,female
1,1:23:39,Yelena LASHMANOVA,1992-04-09,RUS,1,Cheboksary (RUS),2018-06-09,1251,5019.0,20 Kilometres Race Walk,,female
1,8:44.32,Beatrice CHEPKOECH,1991-07-06,KEN,1,"Stade Louis II, Monaco (MON)",2018-07-20,1285,524.3,3000 Metres Steeplechase,,female
1,10:43.84,Tom BOSWORTH,1990-01-17,GBR,1.0,"Olympic Stadium, London (GBR)",2018-07-21,1217,643.8,3000 Metres Race Walk,,male
1,9126,Kevin MAYER,1992-02-10,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",2018-09-16,1302,9126.0,Decathlon,,male
1,41:05,Joshua CHEPTEGEI,1996-09-12,UGA,1.0,Nijmegen (NED),2018-11-18,1248,2465.0,15 Kilometres,,male
1,34.41,Shaunae MILLER-UIBO,1994-04-15,BAH,1f1,"Mestský Stadion, Ostrava (CZE)",2019-06-20,1269,34.4,300 Metres,,female
1,4:12.33,Sifan HASSAN,1993-01-01,NED,1,"Stade Louis II, Monaco (MON)",2019-07-12,1250,252.3,One Mile,,female
1,5:52.80,Gesa Felicitas KRAUSE,1992-08-03,GER,1,"Olympiastadion, Berlin (GER)",2019-09-01,1219,352.8,2000 Metres Steeplechase,,female
1,50:32,Evaline CHIRCHIR,1998-02-02,KEN,1,Amsterdam (NED),2019-09-22,1190,3032.0,10 Miles Road,,female
1,2:14:04,Brigid KOSGEI,1994-02-20,KEN,1,"Chicago, IL (USA)",2019-10-13,1295,8044.0,Marathon,,female
1,44:20,Letesenbet GIDEY,1998-03-20,ETH,1.0,Nijmegen (NED),2019-11-17,1274,2660.0,15 Kilometres,,female
1,26:24,Rhonex KIPRUTO,1999-10-12,KEN,1,Valencia (ESP),2020-01-12,1285,1584.0,10 Kilometres,,male
1,12:35.36,Joshua CHEPTEGEI,1996-09-12,UGA,1,"Stade Louis II, Monaco (MON)",2020-08-14,1302,755.3,5000 Metres,,male
1,3:50:42,Yelena LASHMANOVA,1992-04-09,RUS,1.0,Voronovo (RUS),2020-09-05,1295,13842.0,50 Kilometres Race Walk,,female
1,26:11.00,Joshua CHEPTEGEI,1996-09-12,UGA,1,"Estadio de Atletismo del Turia, Valencia (ESP)",2020-10-07,1306,1571.0,10000 Metres,,male
1,37:25.21,Eiki TAKAHASHI,1992-11-19,JPN,1.0,"Juntendo University Stadium, Inzai (JPN)",2020-11-14,1241,2245.2,10000 Metres Race Walk,,male
1,29:01.03,Letesenbet GIDEY,1998-03-20,ETH,1,"FBK Stadium, Hengelo (NED)",2021-06-08,1303,1741.0,10000 Metres,,female
1,15.67,Yulimar ROJAS,1995-10-21,VEN,1,"National Stadium, Tokyo (JPN)",2021-08-01,1290,15.6,Triple Jump,0.7,female
1,45.94,Karsten WARHOLM,1996-02-28,NOR,1,"National Stadium, Tokyo (JPN)",2021-08-03,1341,45.9,400 Metres Hurdles,,male
1,5:21.56,Francine NIYONSABA,1993-05-05,BDI,1.0,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1241,321.5,2000 Metres,,female
1,1:02:52,Letesenbet GIDEY,1998-03-20,ETH,1,Valencia (ESP),2021-10-24,1281,3772.0,Half Marathon,,female
1,57:31,Jacob KIPLIMO,2000-11-14,UGA,1,Lisboa (POR),2021-11-21,1288,3451.0,Half Marathon,,male
1,12:49,Berihu AREGAWI,2001-02-28,ETH,1.0,Barcelona (ESP),2021-12-31,1250,769.0,5 Kilometres,,male
1,14:19,Ejgayehu TAYE,2000-02-10,ETH,1,Barcelona (ESP),2021-12-31,1244,859.0,5 Kilometres,,female
1,29:14,Yalemzerf YEHUALAW,1999-08-03,ETH,1,Castellón (ESP),2022-02-27,1290,1754.0,10 Kilometres,,female
1,50.68,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2022-07-22,1312,50.6,400 Metres Hurdles,,female
1,6.21,Armand DUPLANTIS,1999-11-10,SWE,1,"Hayward Field, Eugene, OR (USA)",2022-07-24,1325,6.2,Pole Vault,,male
1,12.12,Tobi AMUSAN,1997-04-23,NGR,1sf1,"Hayward Field, Eugene, OR (USA)",2022-07-24,1272,12.1,100 Metres Hurdles,0.9,female
1,2:01:09,Eliud KIPCHOGE,1984-11-05,KEN,1,Berlin (GER),2022-09-25,1312,7269.0,Marathon,,male
1,44:04,Benard KIBET,1999-11-25,KEN,1,Kosa (JPN),2022-12-04,1257,2644.0,10 Miles Road,,male
1,2:37:11,Klavdiya AFANASYEVA,1996-01-15,RUS,1.0,Saransk (RUS),2023-05-20,1263,9431.0,35 Kilometres Race Walk,,female
1,23.56,Ryan CROUSER,1992-12-18,USA,1,"Drake Stadium, Los Angeles, CA (USA)",2023-05-27,1334,23.5,Shot Put,,male
1,3:49.11,Faith KIPYEGON,1994-01-10,KEN,1,"Stadio Luigi Ridolfi, Firenze (ITA)",2023-06-02,1295,229.1,1500 Metres,,female
1,7:52.11,Lamecha GIRMA,2000-11-26,ETH,1,"Stade Charléty, Paris (FRA)",2023-06-09,1295,472.1,3000 Metres Steeplechase,,male
1,7:54.10,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Stade Charléty, Paris (FRA)",2023-06-09,1304,474.1,Two Miles,,male
1,14:05.20,Faith KIPYEGON,1994-01-10,KEN,1,"Stade Charléty, Paris (FRA)",2023-06-09,1272,845.2,5000 Metres,,female
